city,num_under_35k,percent_under_35k,num_35k-50k,percent_35k-50k,num_50k-75k,percent_50k-75k,num_75k-100k,percent_75k-100k,num_100k-150k,percent_100k-150k,num_greaterthan_150k,percent_higherthan_150k
City of Carlsbad,"7,398",17.2,"3,497",8.1,"5,639",13.1,"5,342",12.4,"8,588",20,"12,462",29
City of Chula Vista,"20,658",26.6,"8,962",11.5,"13,203",17,"11,730",15.1,"14,085",18.1,"9,166",11.8
City of Coronado,"1,602",17.8,829,9.2,"1,441",16,957,10.6,"1,669",18.6,"2,488",27.7
City of Del Mar,462,20.5,48,2.1,225,10,233,10.3,431,19.1,859,38
City of El Cajon,"13,188",40,"4,142",12.6,"5,730",17.4,"3,843",11.7,"3,822",11.6,"2,212",6.7
City of Encinitas,"4,510",19,"1,483",6.3,"3,135",13.2,"2,636",11.1,"4,579",19.3,"7,352",31
City of Escondido,"14,900",33,"6,066",13.4,"8,379",18.5,"5,275",11.7,"6,031",13.3,"4,566",10.1
City of Imperial Beach,"3,048",33.7,"1,716",19,"1,719",19,"1,223",13.5,885,9.8,453,5
City of La Mesa,"6,777",28.5,"3,329",14,"4,638",19.5,"3,630",15.3,"3,535",14.9,"1,858",7.8
City of Lemon Grove,"2,469",29.2,"1,311",15.5,"1,676",19.8,"1,206",14.2,"1,338",15.8,465,5.5
City of National City,"6,731",42.4,"2,501",15.8,"3,023",19,"1,555",9.8,"1,430",9,630,4
City of Oceanside,"17,087",27.8,"8,633",14,"11,433",18.6,"8,488",13.8,"8,907",14.5,"6,932",11.3
City of Poway,"2,609",16.5,"1,183",7.5,"2,203",13.9,"1,966",12.4,"3,532",22.4,"4,304",27.2
City of San Diego,"125,901",25.7,"56,976",11.6,"82,094",16.7,"61,827",12.6,"80,445",16.4,"82,976",16.9
City of San Marcos,"8,030",27.6,"3,116",10.7,"5,130",17.6,"3,552",12.2,"5,224",17.9,"4,073",14
City of Santee,"3,770",19.3,"2,056",10.5,"3,536",18.1,"3,245",16.6,"4,227",21.7,"2,683",13.7
City of Solana Beach,950,16.5,485,8.4,901,15.7,512,8.9,"1,080",18.8,"1,822",31.7
City of Vista,"9,668",31.6,"4,122",13.5,"6,335",20.7,"3,882",12.7,"4,102",13.4,"2,520",8.2
